Average_cnts_per_fullexposed_bin	Number_of_bins	1sigma	2sigma	3sigma
0.04	50	0.014940309252075054	0.015906956683547295	0.02050665837039593
0.12	50	0.015102567953376674	0.01640046479185451	0.02327956263612173
0.4	50	0.01563609180282832	0.01908014425675357	0.053635354105695934
1.2	50	0.015857421363099804	0.02405296380014917	0.20512323073214964
4.0	50	0.014984539064777333	0.02298448704133699	0.1492507663725727
12.0	50	0.014163226615137418	0.020553155121284656	0.09322757739640546
40.0	50	0.01317841705926698	0.018814325709330268	0.06130153114551435
120.0	50	0.012262795977557448	0.015740431038618358	0.030284025726162123
400.0	50	0.011238103235090046	0.012965336464139658	0.017961943071987056
1200.0	50	0.01052012570492207	0.011062788092254366	0.012683379919210721
0.04	135	0.013655829255575132	0.014109276006973518	0.014806210062506289
0.12	135	0.01387741181744233	0.014467971926340712	0.0156954307285603
0.4	135	0.015252302940720077	0.018409244856296653	0.0586122418536428
1.2	135	0.015264242934563823	0.023793908700691164	0.17305733472164692
4.0	135	0.014469120007550037	0.021650187371444272	0.10199195672679884
12.0	135	0.013591920631203696	0.020833805206151468	0.07619838495802508
40.0	135	0.01262360370009049	0.017148448726541837	0.04182738804638969
120.0	135	0.011774211048033282	0.014640681235312829	0.025887343737589517
400.0	135	0.010818529795956404	0.011972106453128205	0.016602535749105057
1200.0	135	0.010286492628296739	0.010503740213623637	0.011055752311716568
0.04	370	0.012627347212987288	0.012858796709416075	0.013111916657213592
0.12	370	0.012761557701152768	0.013141417420900492	0.014042568161978724
0.4	370	0.015262376420171623	0.018973666769342576	0.08022976225666972
1.2	370	0.014726779991036418	0.0215393042407377	0.1112717746489259
4.0	370	0.014085782646539566	0.02053256217094808	0.08367763775667142
12.0	370	0.013217240029358803	0.018926815373281766	0.056790291714735
40.0	370	0.0122852613748662	0.016113177919095	0.032929952542479456
120.0	370	0.011329018594430022	0.01316101598056004	0.020669490970137015
400.0	370	0.010497309551973989	0.011027223256868746	0.012778238891680989
1200.0	370	0.010196691287558637	0.010343190126896395	0.010600640145764362
0.04	1000	0.011836085295512236	0.011987888373082404	0.012140100433501961
0.12	1000	0.011907533392581708	0.012130393981589382	0.012470546418163144
0.4	1000	0.015353320421289543	0.021088190461232312	0.11745066862420515
1.2	1000	0.014403284060727392	0.020383708035519383	0.11008357604894525
4.0	1000	0.013613404104257374	0.02050915617638188	0.07877941012617416
12.0	1000	0.012780498838935592	0.017178166680597247	0.04593093129662002
40.0	1000	0.011850917140991589	0.015064492185222284	0.02764047623902998
120.0	1000	0.010925416753958297	0.012118319019396518	0.016257397894309113
400.0	1000	0.010429865020829914	0.01077245935440726	0.011274364318816692
1200.0	1000	0.010202025103640752	0.010378505732421557	0.010496541340619222
