Average_cnts_per_fullexposed_bin	Number_of_bins	1sigma	2sigma	3sigma
0.12	100	0.014057824330745579	0.01475963105570025	0.016644971473978087
0.4	100	0.015012182331760835	0.017623440716765068	0.03330597248675714
1.2	100	0.015368012738983123	0.021516923870993326	0.1393307174382866
4.0	100	0.014581894734173729	0.02192652063081302	0.09393665467092897
12.0	100	0.01374141850147784	0.02115450052563848	0.08059815999448566
40.0	100	0.012811047970123855	0.019061885993766004	0.05419304261926635
120.0	100	0.011890083720139881	0.014934889647973707	0.021991477263789996
400.0	100	0.010887062272621461	0.0123072472302763	0.016621568443361587
1200.0	100	0.010314657702610138	0.010555645517745682	0.011360766187892947
0.12	200	0.01322973801984108	0.01374367966831284	0.014837819096689898
0.4	200	0.015048909674189734	0.01747664312680977	0.1063166612471403
1.2	200	0.015159433663289128	0.021463200842121652	0.15049840813268084
4.0	200	0.014274280625950347	0.02101732164058511	0.07415670549527943
12.0	200	0.013497322295759978	0.019601252422894087	0.05333459012172123
40.0	200	0.012629244498604914	0.018563391032862944	0.039563907205145674
120.0	200	0.011559626915462137	0.013897855129158277	0.024398741693787838
400.0	200	0.010628052946820584	0.011394593336382429	0.013983878797532115
1200.0	200	0.010223756455551024	0.01037543388284651	0.010575232874516258
0.12	500	0.012392031109611774	0.01267135373231268	0.013199917749162893
0.4	500	0.015049789201347712	0.018459584436265736	0.09807031170763547
1.2	500	0.014596824443819706	0.021422020426748078	0.13385950784025993
4.0	500	0.014002886291159283	0.020130241508496773	0.0960418226932182
12.0	500	0.013086628673930178	0.018708400580198927	0.05321552924732533
40.0	500	0.01200128046508652	0.015009116732686014	0.031196473540076815
120.0	500	0.011098828526603209	0.012505285912874862	0.01713905568010516
400.0	500	0.010420877373484537	0.010755963836749106	0.01154958459276907
1200.0	500	0.010177456531697021	0.010323522490808684	0.010490948091754966
0.12	1000	0.011819240595088645	0.012016031545461563	0.012243062692022327
0.4	1000	0.015141279799942071	0.018183250664300765	0.03848003786386209
1.2	1000	0.014573324377994936	0.02277433119162449	0.13424198766431794
4.0	1000	0.013552807166362191	0.019688671596966047	0.06002220338575196
12.0	1000	0.01274622808133698	0.01874618315097212	0.04399392687615587
40.0	1000	0.011757196693596527	0.014579594451970697	0.023214518423613384
120.0	1000	0.010893097198773549	0.01206318488334017	0.015306603241237194
400.0	1000	0.010398982664150612	0.010745138005381818	0.011473222899831364
1200.0	1000	0.010189471956701246	0.010370469805495549	0.010461009272826957
