Average_cnts_per_fullexposed_bin	Number_of_bins	1sigma	2sigma	3sigma
0.04	50	0.2641332117944181	0.5879544991400455	0.8644649839814387
0.12	50	0.34924430781425314	0.6336135339131388	0.9654912997556074
0.4	50	0.5603138041137992	0.8264884661939336	1.114658158318119
1.2	50	0.8679735687947029	1.1577144738028737	1.5029231447037543
4.0	50	1.472594856976306	1.8286595944330557	2.189313074323678
12.0	50	2.2199639219997107	2.6777917991819327	3.1965570659065428
40.0	50	2.260862679829464	3.3659785023414743	4.442714351095296
120.0	50	2.164974612842508	2.798974270823988	3.5693382613905467
400.0	50	2.1225613461528408	2.7327881994234064	3.443963116674043
1200.0	50	2.1308668974650242	2.7381120177201597	3.427616651463482
0.04	135	0.46376019220390857	0.6765013529169843	0.9926212347230814
0.12	135	0.5341477255735247	0.7544463669544326	1.0159129294187008
0.4	135	0.6937550643623777	0.93935881310692	1.2010765587934809
1.2	135	0.9989831854859945	1.2832989508922996	1.556274222978839
4.0	135	1.631760442371928	1.9770465624086289	2.294838263076784
12.0	135	2.421374034339129	2.8820873228723363	3.282057762236203
40.0	135	2.7387439974924006	3.90174895800149	4.673696078864707
120.0	135	2.581866632688944	3.22313483367212	4.114464323357681
400.0	135	2.5439447843802916	3.1291143072291483	3.7628627321835686
1200.0	135	2.536332967331218	3.112988599907459	3.77879359045579
0.04	370	0.5918153694257166	0.7717714799425697	1.004438029541697
0.12	370	0.6509458305932603	0.8656662087550152	1.0852800461038528
0.4	370	0.8087404988816467	1.0477278215065622	1.340496483252285
1.2	370	1.111729584475718	1.4096622576357898	1.678797173996312
4.0	370	1.6829888233950359	2.0344861027439287	2.3343320419184788
12.0	370	2.4858196288171595	3.030293265986227	3.4686672054959584
40.0	370	3.238610418039711	4.296720265900646	5.025781336489244
120.0	370	2.9519245415429682	3.6472216945692324	4.548477780343411
400.0	370	2.9035981517670417	3.5006770278766672	4.223646771577232
1200.0	370	2.8845494798926787	3.4517296617783293	4.114712886879331
0.04	1000	0.6872621124877627	0.9097493611047999	1.15062543115133
0.12	1000	0.7194473657751755	0.9600546251273914	1.205353124744797
0.4	1000	0.9125188872639122	1.1438963725606792	1.422999564378298
1.2	1000	1.215652006325222	1.4924283976013848	1.7840346220700771
4.0	1000	1.7066537111278985	2.107572267454416	2.4397449586295976
12.0	1000	2.4536006499521554	3.0788459212456636	3.5379049452736697
40.0	1000	3.526727841280761	4.379909591527375	5.14262351903684
120.0	1000	3.2582933463387795	3.902319737313369	4.700220512706201
400.0	1000	3.225761840292419	3.8465629258968024	4.584371002118973
1200.0	1000	3.1963918803925555	3.752512500003871	4.376766778773247
