Average_cnts_per_fullexposed_bin	Number_of_bins	1sigma	2sigma	3sigma
0.12	100	0.5631345563062574	0.7717956861111585	1.015085678015545
0.4	100	0.7019689677921144	0.9634685229301864	1.3163140612129316
1.2	100	1.0083139221388242	1.2976432636201032	1.6451392532463258
4.0	100	1.6427374207742942	1.9702799414300607	2.2039872863686787
12.0	100	2.3983542589409814	2.901067057496972	3.2480233567642824
40.0	100	2.6014273403937898	3.7966444254056504	4.584869366887266
120.0	100	2.444646904678077	3.166730299360452	3.739994728035236
400.0	100	2.4100168215241142	3.0427460268492394	3.5789216810725004
1200.0	100	2.409425122263448	3.0578456248465415	3.7453723470332223
0.12	200	0.651858473146671	0.898904907297212	1.065537945417627
0.4	200	0.7836019618567769	1.0519923940605633	1.3354998975256966
1.2	200	1.0770931751766848	1.4022908837815107	1.7659331782080783
4.0	200	1.6925859856720697	2.0376387584319473	2.3095423866671796
12.0	200	2.5296658422643916	2.975489877784781	3.319430908867045
40.0	200	2.9545425511282444	4.122072093807045	5.029984217746259
120.0	200	2.7151013981926533	3.3835981348863537	4.023266683669615
400.0	200	2.701921557672716	3.3068481836507	4.0058252418024285
1200.0	200	2.6753678406995256	3.294185229753839	3.7984878584996054
0.12	500	0.7174116627818835	0.9598502848119583	1.1759255633408487
0.4	500	0.8941694955889169	1.1424699390856412	1.5714572786740255
1.2	500	1.1743051100972575	1.4267402891181344	1.8005806249587581
4.0	500	1.7190604622276	2.138961430515306	2.5146525956582892
12.0	500	2.547388259662306	3.081017368706249	3.419813113590269
40.0	500	3.285694806014312	4.410548158170852	4.954584390587605
120.0	500	3.0517123543394042	3.783527694495119	4.798185458752531
400.0	500	3.0079167186969675	3.6412459704040656	4.402985996166022
1200.0	500	2.915440244994842	3.485429124853168	4.075713859458909
0.12	1000	0.7963776720472564	1.0424860285276556	1.2275774189945625
0.4	1000	0.9630666432031304	1.2080995746181435	1.3452869011429784
1.2	1000	1.22192465597659	1.512658333897612	1.8154924114777784
4.0	1000	1.7190460912809031	2.168948979065275	2.423487432324891
12.0	1000	2.521925079350421	3.1287992896455914	3.4918171328429106
40.0	1000	3.528331900869642	4.560761286323707	5.076676905070365
120.0	1000	3.2593391693258673	4.011715505752925	4.522801085478441
400.0	1000	3.199202816132256	3.7235086245774434	4.379596480918718
1200.0	1000	3.1608187004249593	3.7063108353443335	4.32426510708996
